NCT Number,Sponsor,Study Title,Interventions,developed_drug,drug_classification,classification_reason,classification_confidence,verification_status,needs_manual_review
NCT06041789,Duke University,Effect of Acetylcholinesterase Inhibitors on Bone Metabolism,DRUG: Donepezil|DRUG: Memantine,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05805215,Masaryk University,Noninvasive Temporal Interference Stimulation: Modulating Associative Memory by Targeting Deep-brain Targets,COMBINATION_PRODUCT: Non-invasive Temporal Interference stimulation and Face-name association training task targeting the hippocampus|COMBINATION_PRODUCT: Non-invasive Temporal Interference stimulation and Face-name association training task targeting the Precuneus|COMBINATION_PRODUCT: High-frequency stimulation (placebo) with Face-name association training task,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03138018,Assistance Publique Hopitaux De Marseille,Aging Stereotypes and Prodromal Alzheimer's Disease,DIAGNOSTIC_TEST: Diagnosis of MCI versus No MCI (SCI or healthy patient)|DIAGNOSTIC_TEST: Diagnosis of MCI versus No MCI (SCI or healthy patient),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01309763,Affiris AG,Safety and Tolerability of AFFITOPE AD03,BIOLOGICAL: AFFITOPE AD03|BIOLOGICAL: AFFITOPE AD03 + Alum,AFFITOPE AD03; AFFITOPE AD03 + Alum,investigational_therapeutic_unverified,multiple unverified investigational candidates found (AFFITOPE AD03; AFFITOPE AD03 + Alum) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT04984330,Weill Medical College of Cornell University,Selinexor for Treatment of Light Chain Amyloidosis With Relapsed/Refractory Disease,DRUG: Selinexor|DRUG: Dexamethasone,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01760005,Washington University School of Medicine,Dominantly Inherited Alzheimer Network Trial: An Opportunity to Prevent Dementia. A Study of Potential Disease Modifying Treatments in Individuals at Risk for or With a Type of Early Onset Alzheimer's Disease Caused by a Genetic Mutation. Master Protocol DIAN-TU-001,DRUG: Gantenerumab|DRUG: Solanezumab|DRUG: Matching Placebo (Gantenerumab)|DRUG: Matching Placebo (Solanezumab)|DRUG: Gantenerumab|DRUG: E2814|DRUG: Lecanemab|DRUG: Matching Placebo (E2814),Gantenerumab; Solanezumab; E2814; Lecanemab,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Gantenerumab; Solanezumab; E2814; Lecanemab) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT06247345,"Alzheimer's Disease Expert Lab (ADEL), Inc.","A Phase Ia/Ib, First-in-human (FIH) Study for Safety, Tolerability, Pharmacokinetics (PK), and Clinical Activity Evaluation of ADEL-Y01",DRUG: ADEL-Y01 - healty participants|DRUG: Placebo - Healthy Participants|DRUG: ADEL-Y01 - MCI/AD|DRUG: Placebo - MCI/AD,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06731049,Istanbul University - Cerrahpasa,Comparison of the Effectiveness of Treadmill-Based Walking and Dual-Task Walking Training in Alzheimer's Disease,OTHER: Treadmill-based Training Group|OTHER: Dual-Task Treadmill-based Training Group,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02509117,Pfizer,First-In-Human Study Of Single And Multiple Ascending Doses Of PF-06751979,DRUG: PF-06751979 single ascending dose|DRUG: Placebo single dose|DRUG: PF-06751979 multiple ascending dose|DRUG: Placebo multiple dose|DRUG: PF-06751979 multiple dose|DRUG: PF-06751979 multiple dose,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02710188,Nxera Pharma UK Limited,Relative Bioavailability Study in Healthy Subjects to Evaluate the Pharmacokinetics of HTL0009936 After One Dose of Prototype Formulation,DRUG: HTL0009936 modified release|DRUG: HTL0009936 immediate release,HTL0009936 modified release; HTL0009936 immediate release,investigational_therapeutic_unverified,multiple unverified investigational candidates found (HTL0009936 modified release; HTL0009936 immediate release) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT05530590,University of Minnesota,Minnesota Inclusive LTSS for LGBTQ Seniors,OTHER: Training to Serve (TTS) in person training|OTHER: Training to Serve online training (eTTS),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07158905,Institute for Molecular Medicine,AV-1980R (Tau Vaccine) in Preclinical Alzheimer's Disease (TAURUS-1980),BIOLOGICAL: AV-1980R 20 µg|BIOLOGICAL: AV-1980R 60 µg|BIOLOGICAL: AV-1980R 180 µg|OTHER: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03923569,"University Hospital, Toulouse",Epileptiform Activity During REM Sleep in Alzheimer's Disease,DIAGNOSTIC_TEST: Overnight polysomnography|DIAGNOSTIC_TEST: blood sample|DIAGNOSTIC_TEST: high-resolution MRI scan|BEHAVIORAL: neuropsychological evaluation,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02614131,Eli Lilly and Company,A Study of LY2599666 in Healthy Participants and Participants With Mild Cognitive Impairment or Alzheimer's Disease (AD),DRUG: LY2599666|DRUG: Solanezumab|DRUG: Placebo SC|DRUG: Placebo IV,LY2599666; Solanezumab,investigational_therapeutic_unverified,multiple unverified investigational candidates found (LY2599666; Solanezumab) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT00988624,Pfizer,A Study In Healthy Volunteers To Estimate The Pharmacokinetics Of Four Modified-Release Formulations Of Dimebon (Latrepirdine),DRUG: Dimebon IR Tablet|DRUG: Dimebon MR1|DRUG: Dimebon MR2|DRUG: Dimebon MR3|DRUG: Dimebon MR4,Dimebon IR; Dimebon MR1; Dimebon MR2; Dimebon MR3; Dimebon MR4,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Dimebon IR; Dimebon MR1; Dimebon MR2; Dimebon MR3; Dimebon MR4) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT00996918,Pfizer,A Long-Term Safety And Tolerability Study Of Bapineuzumab In Alzheimer Disease Patients,DRUG: Bapineuzumab 0.5 mg/kg|DRUG: Bapineuzumab 1.0 m/kg,Bapineuzumab; Bapineuzumab 1.0 m/kg,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Bapineuzumab; Bapineuzumab 1.0 m/kg) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT06705738,Aristotle University Of Thessaloniki,The Effect of Combination of Mediterranean Diet and Oleocanthal in Patients with Mild Cognitive Impairment,DIETARY_SUPPLEMENT: SUPOL|OTHER: Dietary Pattern: MeDi,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05114187,McMaster University,An Internet-Based Education Program for Care Partners of People Living With Dementia,OTHER: Education Intervention|OTHER: Education Control,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04614532,Centre Hospitalier Universitaire de Saint Etienne,Recognizing Pain Intensity in Alzheimer's Disease,DIAGNOSTIC_TEST: cognitive assessment|OTHER: Cold Pressor Test|OTHER: digital sensor of Nociception Level Index,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01652222,"Barcelonabeta Brain Research Center, Pasqual Maragall Foundation","Experimental Study to Validate the ""Therapeutic Game"" CONEM-BETA",OTHER: CONEM-BETA + socio-educational training|OTHER: Socio-educational training only,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02244541,Anavex Life Sciences Corp.,"Phase 2a Dose Finding, PK/PD and 12 Month Exploratory Efficacy Study of ANAVEX2-73 in Patients With Alzheimer's Disease",DRUG: ANAVEX2-73 Oral|DRUG: ANAVEX2-73 Intravenous|DRUG: ANAVEX2-73 Oral|DRUG: ANAVEX2-73 Oral,ANAVEX2-73; ANAVEX2-73 Intravenous,investigational_therapeutic_unverified,multiple unverified investigational candidates found (ANAVEX2-73; ANAVEX2-73 Intravenous) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT07237958,Umeå University,Effects on the Olfactory Epithelium and the Olfactory Nerve From Exposure to Diesel Exhaust,OTHER: Diesel Exhaust Particles|OTHER: Filtered air,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00009204,Bruce Pollock,Serotonergic Pharmacotherapy for Agitation of Dementia,DRUG: Citalopram [Celexa]|DRUG: Perphenazine [Trilafon],,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
