NCT Number,Sponsor,Study Title,Interventions,developed_drug,drug_classification,classification_reason,classification_confidence,verification_status,needs_manual_review
NCT05617508,Haukeland University Hospital,N-DOSE AD: A Dose Optimization Trial of Nicotinamide Riboside in Alzheimer's Disease,OTHER: Placebo|DIETARY_SUPPLEMENT: Nicotinamide Riboside supplementation 1000mg daily in total|DIETARY_SUPPLEMENT: Nicotinamide Riboside dose escalation (up to 3000 mg daily in total),Nicotinamide Riboside supplementation; Nicotinamide Riboside dose escalation (up to,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Nicotinamide Riboside supplementation; Nicotinamide Riboside dose escalation (up to) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT07222878,"NeuroPro Therapeutics, Inc.",Study to Evaluate the Relative Bioavailability of a New Formulation of NPT 2042 Soft-Gelatin Capsules Compared to the Original Formulation of NPT 2042,DRUG: NPT 2042 (Reference formula/Formulation 1)|DRUG: NPT 2042 (Test formula/Formulation 2)|DRUG: NPT 2042 (Test formula/Formulation 2),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03354143,University of Texas Southwestern Medical Center,"Hypertension, Intracranial Pulsatility and Brain Amyloid-beta Accumulation in Older Adults (HIPAC Trial)",OTHER: Standard Care|OTHER: Intensive Treatment,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05194917,"University of Wisconsin, Madison",Motivating Change in Aging Smokers,OTHER: Older Smoker Motivational Intervention|OTHER: Control Motivational Message,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06191952,Ludwig-Maximilians - University of Munich,Davos Alzheimer's Collaborative Healthcare System Preparedness to Increase Cognitive Assessment Rates for Older Adults,DIAGNOSTIC_TEST: Cognigram|DIAGNOSTIC_TEST: Subjective cognitive decline questionnaire (SCD-Q)|DIAGNOSTIC_TEST: blood-based biomarkers|DIAGNOSTIC_TEST: ki:elements digital speech biomarker for cognition (ki:e SB-C),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07386730,Jennifer Mitchell,A Study of Psychedelics in Healthy Older Adults With Low Well-being,DRUG: Psilocybin (drug)|DRUG: Dextromethorphan (DXM),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07380204,Universitaire Ziekenhuizen KU Leuven,Quantification of Hsp90 in the Human Brain,OTHER: [11C]HSP990 PET dosimetry|OTHER: [11C]HSP990 PET test-retest|OTHER: [11C]HSP990 simplified scan protocol,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01778946,Vanderbilt University Medical Center,Nicotine Treatment of Cognitive Decline in Down Syndrome,DRUG: Low Dose Nicotine (7mg)|DRUG: Moderate Dose Nicotine (14mg),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07465783,Centre Hospitalier Universitaire de Saint Etienne,Effects of Musical Intervention by a Therapist (IMT) on Falling Asleep and Behavioral Regulation in a Secure Care Unit (SCU),OTHER: Test musicale intervention|OTHER: Controle: audio book,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01994889,Pfizer,Safety and Efficacy of Tafamidis in Patients With Transthyretin Cardiomyopathy,DRUG: Tafamidis|DRUG: Tafamidis|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01044758,Johns Hopkins University,Levetiracetam and Memory Function in Amnestic Mild Cognitive Impairment (MCI),DRUG: Levetiracetam 62.5mg|DRUG: Levetiracetam 125mg|DRUG: Levetiracetam 250mg|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05574400,University of Michigan,"The Caffeine, Postoperative Delirium, and Change in Outcomes After Surgery (CAPACHINOS-2) Study",DRUG: Dextrose Water|DRUG: Caffeine citrate|DRUG: Caffeine citrate,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02921776,Ohio State University,"Vidatalk Communication Application: Usability, Acceptability and Efficacy Study",OTHER: Aim 1 - VidaTalk - post-extubation|OTHER: Aim 2 - VidaTalk - intubated|DEVICE: Aim 3 - VidaTalk tablet app|OTHER: Aim 3 - attention-control with non-VidaTalk tablet,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07142278,"Nuravax, Inc.",DUVAX: A Phase 1 Alzheimer's Vaccine Study Targeting Amyloid-Beta and Tau,BIOLOGICAL: DUVAX 200 µg|BIOLOGICAL: DUVAX 400 µg|BIOLOGICAL: Placebo (Adjuvant only),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06169826,Wake Forest University Health Sciences,Histidine Oral Supplementation as a Therapeutic Modality for Alzheimer's Disease,DRUG: l-Histidine|OTHER: Control,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01217541,Sykehuset Innlandet HF,Collaboration Between Department of Old Age Psychiatry and Nursing Homes,OTHER: Education and Supervision|OTHER: Control,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01423396,"University Hospital, Lille",Impact of Controlling Vascular Risk Factors on the Progression of Alzheimer's Disease,OTHER: optimal care of VRF|OTHER: standard care,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07417670,Carnot Laboratories,Satisfaction With Orodispersible vs Conventional Memantine in Moderate to Severe Alzheimer's Disease,DRUG: Memantine|DRUG: Memantine Oral Tablet,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07526480,Thomas Jefferson University,Improving Dementia Care in Primary Practice,OTHER: Improving Dementia Care|OTHER: Enhanced Usual Care,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04445831,AC Immune SA,"A Study to Evaluate the Safety, Tolerability and Immunogenicity of Tau Targeted Vaccines in Participants With Early Alzheimer's Disease",BIOLOGICAL: ACI-35.030|BIOLOGICAL: ACI-35.030|BIOLOGICAL: ACI-35.030|OTHER: Placebo|BIOLOGICAL: JACI-35.054|BIOLOGICAL: JACI-35.054,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01921972,"Charite University, Berlin, Germany",The Efficacy of a Combination Regimen in Patients With Mild to Moderate Probable Alzheimer's Disease,DRUG: Galantamine CR|DRUG: Memantine|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03240406,Albert Einstein College of Medicine,Multicultural Healthy Diet to Reduce Cognitive Decline,OTHER: Multicultural Healthy Diet|OTHER: Usual Diet plus Self-Care,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03752463,Chang Gung Memorial Hospital,NMDA Enhancer for the Treatment of Mild Alzheimer's Disease,DRUG: DAOI-A group|DRUG: DAOI-B group|DRUG: DAOI-C group|DRUG: Placebo oral capsule,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05558709,Assistance Publique - Hôpitaux de Paris,Social-cognitive Functioning: Validation of a New Neuropsychological Test,OTHER: REALSOCOG|OTHER: BCS|OTHER: Hetero-questionnaires,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00752232,Pfizer,Study Evaluating ACC-001 in Japanese Patients With Mild To Moderate Alzheimer's Disease,BIOLOGICAL: ACC-001|OTHER: QS-21|BIOLOGICAL: ACC-001|OTHER: QS-21|OTHER: PBS,ACC-001; QS-21,investigational_therapeutic_unverified,multiple unverified investigational candidates found (ACC-001; QS-21) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT00884533,GlaxoSmithKline,QTc Study of Rosi XR in Healthy Volunteers,DRUG: Rosi XR|OTHER: Placebo|DRUG: Moxifloxacin,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03673722,University of East Anglia,"Mediterranean Diet, Exercise and Dementia Risk in UK Adults",OTHER: Foods consistent with a MDP|OTHER: Physical Activity|OTHER: Control,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05478031,reMYND,A Phase 2a Study to Investigate REM0046127 in Mild to Moderate Alzheimer's Disease,DRUG: REM0046127 High Dose|DRUG: REM0046127 Low Dose|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00066157,"University of Wisconsin, Madison",Alzheimer's Disease: Therapeutic Potential of Estrogen,DRUG: Transdermal estradiol|DRUG: Medroxyprogesterone|DRUG: Placebo Patch|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03907748,Anglia Ruskin University,Home-based Family Caregiver-delivered Music and Reading Interventions for People With Dementia,OTHER: Music Intervention|OTHER: Reading Intervention,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04311515,"Samus Therapeutics, Inc.","To Evaluate Safety, Tolerability and Pharmacological Effects of PU AD in Subjects With Mild AD Dementia",RADIATION: Tau Positron emission tomography (PET)|RADIATION: Fluorodeoxyglucose (FDG) Positron emission tomography (PET)|DIAGNOSTIC_TEST: Cerebrospinal fluid (CSF) Biomarkers|DIAGNOSTIC_TEST: Blood Biomarkers|BEHAVIORAL: Rating Scales|DRUG: PU-AD|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05040217,Mark Tuszynski,A Clinical Trial of AAV2-BDNF Gene Therapy in Early Alzheimer's Disease and Mild Cognitive Impairment,GENETIC: AAV2-BDNF Gene Therapy|BIOLOGICAL: AAV2-BDNF Gene Therapy,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04118764,Columbia University,Non-invasive Blood-brain Barrier Opening in Alzheimer's Disease Patients Using Focused Ultrasound,DEVICE: Neuronavigation-guided single-element focused ultrasound transducer|DRUG: Definity|OTHER: Magnetic Resonance Imaging (MRI) with or without gadolinium contrast agents|OTHER: Positron Emission Tomography (PET)|OTHER: Amyvid,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00046358,National Institute of Mental Health (NIMH),"The Effect of Short-Term Statins and NSAIDs on Levels of Beta-Amyloid, a Protein Associated With Alzheimer's Disease",DRUG: Lovostatin|DRUG: Ibuprofen,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06773416,Sunnybrook Health Sciences Centre,CPAP Randomized Controlled Trial,COMBINATION_PRODUCT: CPAP Therapy Combined with Web-Based Sleep Education for Cognitive and Sleep Health|COMBINATION_PRODUCT: Delayed CPAP Therapy Combined with Web-Based Sleep Education for Cognitive and Sleep Health,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05969054,Xiangya Hospital of Central South University,Improvement Effect of Lacosamide and Levetiracetam on Cognitive in Alzheimer's Disease Patients With Epilepsy,DRUG: Lacosamide 100 mg|DRUG: Levetiracetam 250mg,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04916886,CanSino Biologics Inc.,A Clinical Trial of Immunobridging and Lot-to-lot Consistency of COVID-19 Vaccine (Ad5-nCoV) in Different Age Groups.,BIOLOGICAL: Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector) 0.5ml|BIOLOGICAL: Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector) 0.3ml,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07252440,"Shanghai Auzone Biological Technology Co., Ltd.",A Study to Evaluate the Efficacy and Safety of TTYP01 Tablets in Early Symptomatic Alzheimer's Disease,DRUG: TTYP01 tables 60mg|DRUG: TTYP01 tables 90mg|DRUG: TTYP01 tables 0mg,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03991624,Centre Hospitalier Universitaire de Saint Etienne,Lack of Decision-making in Patients With Alzheimer's Disease : Functions Involved and the Daily Consequences,DIAGNOSTIC_TEST: cognitive assessment|OTHER: Inhibition evaluation|OTHER: Assessment of mental flexibility|OTHER: Evaluation of the update|OTHER: working memory|OTHER: episodic memory,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00548951,Queen's University,Alzheimer Patients and the Snoezelen Program,OTHER: Snoezelen Room|OTHER: Snoezelen Room|OTHER: Control,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06495957,Guang'anmen Hospital of China Academy of Chinese Medical Sciences,Electroacupuncture for the Treatment of Agitated Symptoms of Alzheimer's Disease,OTHER: Electroacupuncture group|OTHER: Micro-acupuncture group,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03448601,"University of Colorado, Denver",Alzheimer's Disease and Precision Medicine Research Among Native People,OTHER: Culturally tailored brochure intervention group|OTHER: Culturally tailored video intervention group,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02260674,"Janssen Research & Development, LLC",A Safety and Tolerability Study of JNJ-54861911 in Participants With Early Alzheimer's Disease,"DRUG: JNJ-54861911, 10 milligram (mg)|DRUG: JNJ-54861911, 50 mg|DRUG: Placebo","JNJ-54861911, 10 milligram (mg); JNJ-54861911",investigational_therapeutic_unverified,"multiple unverified investigational candidates found (JNJ-54861911, 10 milligram (mg); JNJ-54861911) — could not resolve to a single drug",low,multiple_candidates_unresolved,True
NCT03352024,"University Hospital, Montpellier",Impact of Hypno-analgesia on Pain During a Lumbar Puncture for Diagnosis of Alzheimer's Disease,OTHER: Relational care|OTHER: Hypno-analgesia,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04295889,University Medical Center Groningen,Towards HOMe-based Albuminuria Screening: an Implementation Study Testing Two Approaches,DIAGNOSTIC_TEST: Approach A (PeeSpot urine collection device).|DIAGNOSTIC_TEST: Approach B (ACR | EU Test kit).,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07196592,Yuan Shen,Development of a Novel Multidimensional Therapeutic Intervention Protocol for MCI,"BEHAVIORAL: Olfactory stimulation|BIOLOGICAL: Temporal Interference,TI|COMBINATION_PRODUCT: Olfactory-TI Stimulation|COMBINATION_PRODUCT: Sham Control",,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05330871,Seventh Medical Center of PLA General Hospital,Evaluate the Safety and Immunogenicity of Ad5 COVID-19 Vaccines for Booster Use in Children Aged 6-17 Years.,BIOLOGICAL: 1 Nebulized inhalation for booster groups|BIOLOGICAL: 2 Nebulized inhalation for booster groups|BIOLOGICAL: 3 Nebulized inhalation for booster groups|BIOLOGICAL: 4 Nebulized inhalation for booster groups|BIOLOGICAL: 5 Intramuscular injection for booster groups|BIOLOGICAL: 6 Intramuscular injection for booster groups|BIOLOGICAL: 7 Intramuscular injection for booster groups|BIOLOGICAL: 8 Intramuscular injection for booster groups|BIOLOGICAL: 9 Intramuscular injection for booster groups|BIOLOGICAL: 10 Intramuscular injection for booster groups|BIOLOGICAL: 11 Nebulized inhalation for booster groups|BIOLOGICAL: 12 Nebulized inhalation for booster groups|BIOLOGICAL: 13 Nebulized inhalation for booster groups|BIOLOGICAL: 14 Nebulized inhalation for booster groups|BIOLOGICAL: 15 Intramuscular injection for booster groups|BIOLOGICAL: 16 Intramuscular injection for booster groups|BIOLOGICAL: 17 Intramuscular injection for booster groups|BIOLOGICAL: 18 Intramuscular injection for booster groups|BIOLOGICAL: 19 Intramuscular injection for booster groups|BIOLOGICAL: 20 Intramuscular injection for booster groups|BIOLOGICAL: 21 Nebulized inhalation for primary groups|BIOLOGICAL: 22 Nebulized inhalation for primary groups|BIOLOGICAL: 23 Nebulized inhalation for primary groups|BIOLOGICAL: 24 Nebulized inhalation for primary groups,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03236792,Icahn School of Medicine at Mount Sinai,Ixazomib In Combination With Cyclophosphamide And Dexamethasone for Newly Diagnosed AL Amyloidosis,DRUG: Ixazomib|DRUG: Cyclophosphamide|DRUG: Dexamethasone,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02471833,Emory University,Health Evaluation in African Americans Using RAS Therapy,DRUG: Telmisartan 20mg|DRUG: Telmisartan 40mg|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02085265,Sunnybrook Health Sciences Centre,Telmisartan vs. Perindopril in Mild-Moderate Alzheimer's Disease Patients,DRUG: Perindopril|DRUG: Telmisartan,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05469009,Ali Rezai,Safety and Feasibility of Exablate Blood-Brain Barrier Disruption for Mild Cognitive Impairment or Mild Alzheimer's Disease Undergoing Standard of Care Monoclonal Antibody (mAb) Therapy,DRUG: Aducanumab|DEVICE: Exablate Model 4000 Type 2|DRUG: Lecanemab,Aducanumab; Lecanemab,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Aducanumab; Lecanemab) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT02271685,Carnegie Mellon University,Sound Estimation and Accuracy Task,OTHER: Instructions about Overestimates|OTHER: Instructions about Parkinson's|OTHER: Instructions about Underestimates|OTHER: Instructions about Alzheimers,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00164749,Chinese University of Hong Kong,A Pilot Study of Curcumin and Ginkgo for Treating Alzheimer's Disease,DRUG: Placebo and ginkgo extract|DRUG: Curcumin and ginkgo extract|DRUG: Curcumin and ginkgo extract,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06862960,ChenXiaoChun,Ozanimod in Patients With Alzheimer's Disease,DRUG: Ozanimod|DRUG: Conventional medication,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00777608,Merck Sharp & Dohme LLC,A Study to Test the Performance of the CogState Computerized Neuropsychological Battery in Patients With Alzheimer's Disease (0000-086)(COMPLETED),DRUG: Comparator: Placebo 5mg (run in)|DRUG: Donepezil 5 - 10 mg|DRUG: Comparator: Placebo 5-10 mg|DRUG: Donepezil 10 mg,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04785300,Mayo Clinic,ALSENLITE: Senolytics for Alzheimer's Disease,DRUG: Dasatinib|DRUG: Quercetin,Dasatinib; Quercetin,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Dasatinib; Quercetin) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT01192529,"Vegenat, S.A.",Evaluation of a Diet in Patients With Senile Dementia,DIETARY_SUPPLEMENT: Supressi. T-Diet plus Range|DIETARY_SUPPLEMENT: High Protein. T-Diet plus Range,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01099332,Adeona Pharmaceuticals,Trial of Novel Oral Zinc Cysteine Preparation in Alzheimer's Disease,OTHER: Gastro-retentive zinc cysteine tablet|OTHER: Tablet identical physically to active comparator containing some lactose,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00990613,Pfizer,A Study Evaluating The Absorption Of Dimebon Into The Body From A Dimebon Solution Applied To The Skin,DRUG: Dimebon IR|DRUG: Dimebon Transdermal|DRUG: Dimebon Transdermal|DRUG: Dimebon IR|DRUG: Dimebon Transdermal,Dimebon IR; Dimebon,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Dimebon IR; Dimebon) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT01143350,Centre Hospitalier Universitaire de Nice,Non Pharmacological Treatment in Alzheimer's Disease and Associated Disorders,OTHER: Bras A (EHPAD Training and stimulation)|OTHER: EHPAD Control,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00866060,King's College London,Donepezil and Memantine in Moderate to Severe Alzheimer's Disease,DRUG: Memantine|DRUG: Donepezil|DRUG: Placebo donepezil|DRUG: Placebo memantine,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04939792,Louisiana State University Health Sciences Center Shreveport,Optimization of Blood Levels of 25(OH)-Vitamin D in African Americans,DRUG: Vitamin D|DRUG: Placebo|DRUG: Vitamin D + L-cysteine|DRUG: L-cysteine,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00818662,Baxalta now part of Shire,A Phase 3 Study Evaluating Safety and Effectiveness of Immune Globulin Intravenous (IGIV 10%) for the Treatment of Mild-to-Moderate Alzheimer´s Disease,"BIOLOGICAL: Immune Globulin Intravenous (Human), 10% (IGIV, 10%) 400 mg/kg|BIOLOGICAL: Immune Globulin Intravenous (Human), 10% (IGIV, 10%) 200 mg/kg|BIOLOGICAL: Placebo solution: Human Albumin 0.25% - 4 mL/kg|BIOLOGICAL: Placebo solution: Human Albumin 0.25% - 2 mL/kg",,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00235716,US Department of Veterans Affairs,"A Randomized, Clinical Trial of Vitamin E and Memantine in Alzheimer's Disease",DRUG: dl-alpha-tocopherol|DRUG: Memantine|DRUG: dl-alpha-tocopherol|DRUG: Memantine|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07756294,Wake Forest University Health Sciences,Restoring Vascular and Insulin Function To Augment Anti-Amyloid Therapy in Alzheimer's Disease,DRUG: Empagliflozin|DRUG: Insulin|DRUG: Insulin Placebo|DRUG: Empagliflozin Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02849639,Daniela Moga,The INCREASE Study - Delaying the Onset of Alzheimer's Symptomatic Expression,OTHER: Placebo|OTHER: Medication Therapy Management (MTM)|DRUG: Scopolamine patch,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05647473,Fujian Medical University Union Hospital,"Efficacy, Safety and Response Predictors of Adjuvant Astragalus for Cognition in Orthostatic Hypotension",BEHAVIORAL: Routine treatment|DRUG: add-on low dose Astragalus|DRUG: add-on high dose Astragalus,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01362686,Indiana University,Comparative Research of Alzheimer's Disease Drugs,DRUG: Donepezil|DRUG: Galantamine|DRUG: Rivastigmine,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00056329,New York State Institute for Basic Research,Vitamin E in Aging Persons With Down Syndrome,DRUG: Vitamin E|DRUG: multivitamin|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02460783,National Institute on Aging (NIA),"Intermittent Calorie Restriction, Insulin Resistance, and Biomarkers of Brain Function",OTHER: Boost (R) 5-2 diet|OTHER: Healthy Living Diet,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02187627,Hoffmann-La Roche,"Evaluation of [11C]RO6924963, [11C]RO6931643, and [18F]RO6958948 as Tracers for Positron Emission Tomography (PET) Imaging of Tau in Healthy and Alzheimer's Disease (AD) Participants",DRUG: [11C]RO6924963|DRUG: [11C]RO6931643|DRUG: [18F]RO6958948,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05576688,Ankara Yildirim Beyazıt University,"Trunk Control, Balance, Gait, Functional Mobility and Fear of Falling in People With Alzheimer's Disease",OTHER: Balance|OTHER: Trunk control|OTHER: Gait|OTHER: Functional mobility|OTHER: Fear of falling,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06856681,C2N Diagnostics,Clinical Utility of Early vs. Late Blood Biomarker Testing for Alzheimer's Disease,DIAGNOSTIC_TEST: PrecivityAD2 - Early Testing|DIAGNOSTIC_TEST: PrecivityAD2 - Delayed Testing,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
